id,kind,so,denom,season
701762,B,151,489,2025
702176,B,37,153,2025
702284,B,47,257,2025
702332,B,50,506,2025
702616,B,140,649,2025
802415,B,43,441,2025
804668,B,7,17,2025
805249,B,67,218,2025
805300,B,48,234,2025
805367,B,72,505,2025
805779,B,39,523,2025
805811,B,13,37,2025
805904,B,20,52,2025
807712,B,29,207,2025
807713,B,94,437,2025
807799,B,24,205,2025
808975,B,52,170,2025
808982,B,71,617,2025
810938,B,64,295,2025
434378,C,3553,14607,career-thru-2025
445276,C,1278,3680,career-thru-2025
453286,C,3489,11987,career-thru-2025
455119,C,400,1586,career-thru-2025
471911,C,1696,7073,career-thru-2025
472610,C,547,2557,career-thru-2025
476594,C,77,344,career-thru-2025
489446,C,623,1883,career-thru-2025
500743,C,0,46,career-thru-2025
500779,C,1816,8812,career-thru-2025
518585,C,300,831,career-thru-2025
518876,C,911,4143,career-thru-2025
518886,C,1282,3306,career-thru-2025
519141,C,940,3871,career-thru-2025
519242,C,2579,8389,career-thru-2025
527048,C,1153,7070,career-thru-2025
542888,C,434,1787,career-thru-2025
543037,C,2251,7861,career-thru-2025
543056,C,312,1302,career-thru-2025
543135,C,1487,7124,career-thru-2025
543243,C,1925,7952,career-thru-2025
543510,C,0,10,career-thru-2025
544150,C,206,1099,career-thru-2025
545121,C,0,22,career-thru-2025
547179,C,826,4214,career-thru-2025
547184,C,71,381,career-thru-2025
547973,C,1331,3341,career-thru-2025
548384,C,278,1045,career-thru-2025
552640,C,337,1390,career-thru-2025
554430,C,1820,7086,career-thru-2025
571510,C,1045,4614,career-thru-2025
