id,kind,so,denom,season
693312,P,34,167,2025
693313,P,26,156,2025
693433,P,198,731,2025
693645,P,84,304,2025
693821,P,131,679,2025
693855,P,64,242,2025
694037,P,61,215,2025
694297,P,147,767,2025
694335,P,68,234,2025
694350,P,24,110,2025
694361,P,21,70,2025
694363,P,12,82,2025
694462,P,55,229,2025
694477,P,127,503,2025
694646,P,9,51,2025
694738,P,102,476,2025
694819,P,87,273,2025
694851,P,12,61,2025
694918,P,10,78,2025
694973,P,216,733,2025
695243,P,104,234,2025
695418,P,108,546,2025
695445,P,36,148,2025
695505,P,67,188,2025
695534,P,7,40,2025
695549,P,39,218,2025
696131,P,5,19,2025
696136,P,13,67,2025
696147,P,18,94,2025
696149,P,31,124,2025
696270,P,16,72,2025
697812,P,11,35,2025
699134,P,9,31,2025
700241,P,58,400,2025
700249,P,118,488,2025
700270,P,1,15,2025
700363,P,42,192,2025
700669,P,40,193,2025
701121,P,7,49,2025
701519,P,31,158,2025
701542,P,171,711,2025
701552,P,18,91,2025
701656,P,33,99,2025
702056,P,16,62,2025
702070,P,114,556,2025
702352,P,61,343,2025
702752,P,1,6,2025
800048,P,38,165,2025
800311,P,12,69,2025
801139,P,19,74,2025
801403,P,82,441,2025
801434,P,8,39,2025
804636,P,22,87,2025
805123,P,35,124,2025
805299,P,14,66,2025
805427,P,3,19,2025
805673,P,88,354,2025
806188,P,43,230,2025
806960,P,43,199,2025
808963,P,28,161,2025
808967,P,201,684,2025
813349,P,29,79,2025
815083,P,24,107,2025
820862,P,39,152,2025
457705,B,118,551,2025
467793,B,91,474,2025
500743,B,46,317,2025
502054,B,94,449,2025
502671,B,100,534,2025
506702,B,4,12,2025
514888,B,109,654,2025
516782,B,68,329,2025
518595,B,74,231,2025
518692,B,128,627,2025
519317,B,96,281,2025
521692,B,125,641,2025
542303,B,144,592,2025
543309,B,72,327,2025
543510,B,33,137,2025
543760,B,93,534,2025
543807,B,111,586,2025
543877,B,35,214,2025
545121,B,15,121,2025
545341,B,61,293,2025
545361,B,178,556,2025
547180,B,121,580,2025
553869,B,74,283,2025
553993,B,196,657,2025
571448,B,49,436,2025
571657,B,66,300,2025
571771,B,68,256,2025
571912,B,16,54,2025
571970,B,83,388,2025
572233,B,177,640,2025
573262,B,108,558,2025
575929,B,142,563,2025
592206,B,133,589,2025
592450,B,160,679,2025
592518,B,131,678,2025
592626,B,65,306,2025
592663,B,129,550,2025
592885,B,167,644,2025
593428,B,94,552,2025
593871,B,82,524,2025
595879,B,109,437,2025
595978,B,43,180,2025
596019,B,131,732,2025
596103,B,51,160,2025
596115,B,176,654,2025
596117,B,0,1,2025
596142,B,27,101,2025
596146,B,93,474,2025
600869,B,29,91,2025
602104,B,88,391,2025
605137,B,88,533,2025
605141,B,68,663,2025
605170,B,65,386,2025
605244,B,3,4,2025
606115,B,47,214,2025
606192,B,134,546,2025
606466,B,83,556,2025
606992,B,31,77,2025
607043,B,141,652,2025
607208,B,107,639,2025
608070,B,74,673,2025
608324,B,70,495,2025
608348,B,80,421,2025
608369,B,87,445,2025
608701,B,54,209,2025
609280,B,49,341,2025
620443,B,56,283,2025
621020,B,168,645,2025
621043,B,113,584,2025
621438,B,76,341,2025
621439,B,148,542,2025
621493,B,175,663,2025
621566,B,176,724,2025
622268,B,1,9,2025
622761,B,30,83,2025
623168,B,31,174,2025
624413,B,162,709,2025
624424,B,121,486,2025
624428,B,81,459,2025
624431,B,39,302,2025
624512,B,27,140,2025
624585,B,94,315,2025
624641,B,56,261,2025
628451,B,26,193,2025
630105,B,107,515,2025
640459,B,3,15,2025
640492,B,1,21,2025
640902,B,21,78,2025
641343,B,59,218,2025
641355,B,90,656,2025
641487,B,122,654,2025
641555,B,14,98,2025
641584,B,49,217,2025
641598,B,80,290,2025
641680,B,88,433,2025
641857,B,189,586,2025
641933,B,51,209,2025
642020,B,0,2,2025
642086,B,42,225,2025
642133,B,83,312,2025
642201,B,70,271,2025
642215,B,34,125,2025
642350,B,17,36,2025
642708,B,31,191,2025
642715,B,179,686,2025
642851,B,32,110,2025
643217,B,82,470,2025
643289,B,42,398,2025
643376,B,86,337,2025
643396,B,77,459,2025
643446,B,55,462,2025
644433,B,6,22,2025
645277,B,94,667,2025
645302,B,26,114,2025
645305,B,6,23,2025
646240,B,192,729,2025
647304,B,83,604,2025
