date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_pit,f_park,f_wind,wind,p,odds_dk,odds_mgm,odds_czr,fair
2026-08-12,823017,699625,Jimmy Crooks,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,4,118,3.2,1.04,0.98,1.02,0.94,1.22,WIND 11 OUT,11.2,850,,750,+793
2026-08-12,824241,656555,Rhys Hoskins,Cleveland Guardians,Detroit Tigers,0,Framber Valdez,664285,L,13,307,3.3,1.24,1.1,0.89,0.95,1.0,,11.2,531,500,500,+793
2026-08-12,823833,691788,Joe Mack,Miami Marlins,Pittsburgh Pirates,1,Carmen Mlodzinski,669387,R,11,232,3.2,1.3,1.14,0.88,0.92,1.0,,11.2,740,725,700,+793
2026-08-12,823916,518692,Freddie Freeman,Los Angeles Dodgers,Kansas City Royals,1,Daniel Lynch IV,663738,L,15,502,4.3,0.99,0.94,0.86,1.1,1.0,,11.0,504,425,425,+809
2026-08-12,825047,672695,Geraldo Perdomo,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,9,501,4.3,0.71,1.02,1.19,1.01,1.0,ROOF,10.9,930,800,850,+817
2026-08-12,824241,650402,Gleyber Torres,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,7,275,4.4,0.9,0.9,1.09,0.95,1.0,,10.9,583,450,525,+817
2026-08-12,824241,681546,James Outman,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,5,168,3.2,0.99,1.12,1.09,0.95,1.0,,10.9,,,,+817
2026-08-12,823833,683357,Owen Caissie,Miami Marlins,Pittsburgh Pirates,1,Carmen Mlodzinski,669387,R,12,272,3.2,1.26,1.14,0.88,0.92,1.0,,10.9,610,725,575,+817
2026-08-12,822698,608324,Alex Bregman,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,13,537,4.6,0.85,0.95,1.0,1.0,1.0,,10.9,536,425,500,+817
2026-08-12,822698,665953,Andrés Chaparro,Washington Nationals,Chicago Cubs,1,David Peterson,656849,L,6,118,3.2,1.25,1.01,0.92,1.0,1.0,,10.9,489,525,500,+817
2026-08-12,823994,679822,Justin Foscue,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,7,157,3.2,1.2,0.98,0.97,1.02,1.0,,10.9,,,,+817
2026-08-12,823017,686780,Pedro Pagés,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,4,174,3.2,0.89,1.11,1.02,0.94,1.22,WIND 11 OUT,10.8,,,,+826
2026-08-12,823833,681715,Heriberto Hernández,Miami Marlins,Pittsburgh Pirates,1,Carmen Mlodzinski,669387,R,16,320,3.6,1.39,0.91,0.88,0.92,1.0,,10.8,532,525,500,+826
2026-08-12,823263,669134,Luis Campusano,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,5,139,3.3,1.07,1.03,0.86,0.98,1.18,WIND 9 OUT,10.7,,,,+835
2026-08-12,824241,682985,Riley Greene,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,16,492,4.2,1.05,0.8,1.09,0.95,1.0,,10.7,,,,+835
2026-08-12,823263,661388,William Contreras,Milwaukee Brewers,San Diego Padres,0,Robbie Ray,592662,L,11,476,4.3,0.83,0.89,0.99,0.98,1.18,WIND 9 OUT,10.6,541,425,475,+843
