date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair
2026-09-12,823819,669743,Alex Call,Los Angeles Dodgers,Miami Marlins,0,Tyler Phillips,663969,R,1,183,3.2,0.69,0.8,0.98,1.0,0.92,1.0,1.0,,0.01927,6.0,,,,+1567
2026-09-12,823009,665877,José Fermín,St. Louis Cardinals,Chicago White Sox,1,Sean Newcomb,656794,L,6,339,3.2,0.78,1.04,1.15,0.86,0.94,1.0,1.0,,0.01924,6.0,,,,+1567
2026-09-12,822685,685133,Wade Meckler,Los Angeles Angels,Washington Nationals,0,Andrew Alvarez,674841,L,3,276,3.3,0.69,0.89,0.85,0.86,1.0,1.0,1.0,,0.01819,5.9,,,,+1595
2026-09-12,824955,645302,Victor Robles,Seattle Mariners,Athletics,0,Gage Jump,695611,L,0,147,3.2,0.67,0.86,1.07,0.93,1.0,1.0,1.0,,0.01887,5.9,,,,+1595
2026-09-12,824224,687859,Troy Johnston,Colorado Rockies,Detroit Tigers,0,Andrew Sears,808825,L,4,421,3.5,0.6,1.02,0.93,0.97,0.95,0.78,1.03,WIND 11 IN,0.01685,5.8,,,,+1624
2026-09-12,822768,665966,Carlos Narváez,Baltimore Orioles,Toronto Blue Jays,0,Spencer Miles,693686,R,3,270,3.2,0.7,0.89,0.92,0.86,1.01,1.16,1.02,WIND 8 OUT,0.01847,5.8,,,,+1624
2026-09-12,823657,668885,Austin Martin,Minnesota Twins,Cleveland Guardians,1,Daniel Espino,682982,R,3,338,3.2,0.63,0.8,1.15,0.98,0.99,1.0,1.0,,0.01855,5.8,,,,+1624
2026-09-12,823009,687363,Victor Scott II,St. Louis Cardinals,Chicago White Sox,1,Sean Newcomb,656794,L,2,186,3.2,0.75,0.96,0.87,0.86,0.94,1.0,1.0,,0.01859,5.8,,,,+1624
2026-09-12,822685,623168,Tyler Heineman,Los Angeles Angels,Washington Nationals,0,Andrew Alvarez,674841,L,1,183,3.2,0.69,0.86,1.0,0.86,1.0,1.0,1.0,,0.0181,5.7,,,,+1654
2026-09-12,825035,670032,Nicky Lopez,Texas Rangers,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,1,241,3.2,0.62,0.8,1.0,0.96,1.01,1.0,1.0,,0.01822,5.7,2300,2500,2000,+1654
