season,game_id,date,home_team,away_team,home_win,home_era,home_whip,home_k9,home_bb9,away_era,away_whip,away_k9,away_bb9,home_ops,home_kpct,away_ops,away_kpct,era_diff,k9_diff,ops_diff
2023,718695,2023-04-05,Chicago White Sox,San Francisco Giants,1,4.58,1.42,10.88,4.02,3.25,1.07,8.08,1.29,0.674,23.8,0.72,24.5,-1.33,2.8000000000000007,-0.0459999999999999
2023,718689,2023-04-05,Oakland Athletics,Cleveland Guardians,0,7.6,1.96,6.55,4.56,4.5,1.31,5.14,3.0,0.655,25.1,0.642,18.7,-3.1,1.41,0.013
2023,718691,2023-04-05,Seattle Mariners,Los Angeles Angels,0,6.86,1.67,6.51,3.34,3.14,1.06,11.39,3.75,0.65,25.9,0.749,24.8,-3.72,-4.880000000000001,-0.0989999999999999
2023,718692,2023-04-05,Kansas City Royals,Toronto Blue Jays,0,5.06,1.27,6.13,1.45,5.87,1.74,8.14,6.08,0.685,23.3,0.751,20.9,0.8100000000000005,-2.0100000000000007,-0.0659999999999999
2023,718700,2023-04-05,Cincinnati Reds,Chicago Cubs,0,4.76,1.37,6.86,3.21,4.41,1.27,6.23,2.86,0.759,24.2,0.783,22.4,-0.3499999999999996,0.6299999999999999,-0.024
2023,718690,2023-04-06,Detroit Tigers,Boston Red Sox,0,7.26,1.68,6.97,4.35,4.3,1.13,10.96,2.54,0.669,24.2,0.758,22.2,-2.96,-3.990000000000001,-0.0889999999999999
2023,718686,2023-04-06,Kansas City Royals,Toronto Blue Jays,0,6.28,1.24,6.08,2.28,3.16,1.18,11.53,2.68,0.682,23.3,0.758,20.9,-3.12,-5.449999999999999,-0.0759999999999999
2023,718687,2023-04-06,Chicago White Sox,San Francisco Giants,0,5.73,1.39,9.36,3.28,4.33,1.43,6.82,3.87,0.686,23.8,0.703,24.5,-1.4000000000000004,2.539999999999999,-0.0169999999999999
2023,718682,2023-04-06,Colorado Rockies,Washington Nationals,1,5.03,1.47,5.43,2.43,3.91,1.46,8.09,4.53,0.709,25.5,0.721,18.9,-1.12,-2.66,-0.012
2023,718681,2023-04-06,Atlanta Braves,San Diego Padres,1,3.86,1.09,13.55,2.8,2.25,1.19,11.7,4.95,0.827,20.6,0.694,21.2,-1.61,1.8500000000000008,0.133
2023,718683,2023-04-06,Arizona Diamondbacks,Los Angeles Dodgers,0,3.29,1.19,9.47,3.5,2.63,0.94,6.38,3.0,0.717,20.4,0.832,21.5,-0.6600000000000001,3.0900000000000007,-0.1149999999999999
2023,718693,2023-04-06,New York Mets,Miami Marlins,0,4.7,1.58,7.48,4.13,4.24,1.44,10.66,5.96,0.755,22.0,0.711,21.3,-0.4599999999999999,-3.18,0.044
2023,718685,2023-04-06,Philadelphia Phillies,Cincinnati Reds,0,3.61,1.08,9.94,1.83,4.82,1.42,12.21,3.86,0.73,23.9,0.727,24.2,1.2100000000000004,-2.2700000000000014,0.003
2023,718688,2023-04-06,Baltimore Orioles,New York Yankees,0,4.12,1.31,8.18,2.87,4.64,1.35,8.43,2.6,0.752,22.4,0.713,23.9,0.5199999999999996,-0.25,0.039
2023,718684,2023-04-06,Minnesota Twins,Houston Astros,0,2.79,1.15,8.95,2.69,5.29,1.43,6.43,3.57,0.674,26.6,0.735,19.8,2.5,2.52,-0.0609999999999999
2023,718675,2023-04-07,Chicago Cubs,Texas Rangers,1,3.95,1.26,7.84,3.42,3.63,1.14,8.25,2.94,0.703,22.4,0.793,22.5,-0.3200000000000003,-0.4100000000000001,-0.09
2023,718677,2023-04-07,Cleveland Guardians,Seattle Mariners,0,3.46,1.16,8.53,2.43,3.73,1.08,8.92,1.7,0.701,18.7,0.682,25.9,0.27,-0.3900000000000005,0.0189999999999999
2023,718679,2023-04-07,Pittsburgh Pirates,Chicago White Sox,1,5.41,1.52,7.93,3.57,4.88,1.31,9.96,3.56,0.734,24.0,0.689,23.8,-0.5300000000000002,-2.030000000000001,0.045
2023,718680,2023-04-07,San Francisco Giants,Kansas City Royals,0,3.87,1.32,7.79,2.2,4.57,1.92,6.15,8.93,0.682,24.5,0.657,23.3,0.7000000000000002,1.6399999999999997,0.025
2023,718678,2023-04-07,Tampa Bay Rays,Oakland Athletics,1,3.5,1.02,9.42,1.22,5.36,1.56,8.43,4.53,0.768,23.0,0.664,25.1,1.8600000000000003,0.9900000000000002,0.1039999999999999
2023,718676,2023-04-07,Atlanta Braves,San Diego Padres,0,5.81,1.5,5.13,4.44,3.43,1.26,8.65,3.26,0.854,20.6,0.709,21.2,-2.3799999999999994,-3.5200000000000005,0.145
2023,718674,2023-04-07,Milwaukee Brewers,St. Louis Cardinals,1,2.28,0.82,9.94,2.01,4.99,1.58,9.23,4.12,0.696,23.2,0.767,21.4,2.7100000000000004,0.7099999999999991,-0.071
2023,718673,2023-04-07,Colorado Rockies,Washington Nationals,0,6.45,1.61,5.84,4.43,4.42,1.4,9.97,3.76,0.716,25.5,0.711,18.9,-2.03,-4.130000000000001,0.005
2023,718670,2023-04-07,Los Angeles Angels,Toronto Blue Jays,0,4.11,1.51,7.96,4.6,3.6,1.18,8.37,2.66,0.77,24.8,0.716,20.9,-0.5100000000000002,-0.4099999999999992,0.054
2023,718671,2023-04-07,Arizona Diamondbacks,Los Angeles Dodgers,1,10.26,2.4,5.4,8.1,2.46,1.06,9.36,2.73,0.733,20.4,0.792,21.5,-7.8,-3.959999999999999,-0.059
2023,718666,2023-04-08,Minnesota Twins,Houston Astros,1,4.51,1.17,10.97,1.89,4.0,1.3,10.33,3.33,0.671,26.6,0.73,19.8,-0.5099999999999998,0.6400000000000006,-0.0589999999999999
2023,718672,2023-04-08,San Francisco Giants,Kansas City Royals,0,4.44,1.24,9.79,3.21,5.52,1.45,7.5,2.76,0.705,24.5,0.639,23.3,1.0799999999999992,2.289999999999999,0.0659999999999999
2023,718669,2023-04-08,Chicago Cubs,Texas Rangers,1,3.06,1.17,9.14,1.87,4.45,1.4,5.91,3.11,0.729,22.4,0.817,22.5,1.39,3.2300000000000004,-0.0879999999999999
2023,718668,2023-04-08,Philadelphia Phillies,Cincinnati Reds,1,5.36,1.41,6.69,2.23,6.29,1.75,12.32,2.62,0.751,23.9,0.688,24.2,0.9299999999999996,-5.63,0.063
2023,718667,2023-04-08,Detroit Tigers,Boston Red Sox,0,6.9,1.68,8.35,4.0,5.01,1.37,8.41,3.48,0.647,24.2,0.751,22.2,-1.8900000000000008,-0.0600000000000005,-0.1039999999999999
2023,718665,2023-04-08,Tampa Bay Rays,Oakland Athletics,1,0.56,0.5,13.5,2.25,7.18,1.49,9.46,5.13,0.784,23.0,0.697,25.1,6.619999999999999,4.039999999999999,0.087
2023,718661,2023-04-08,New York Mets,Miami Marlins,1,2.98,1.22,10.93,4.17,4.0,1.22,9.5,3.0,0.69,22.0,0.704,21.3,1.02,1.4299999999999995,-0.014
2023,718663,2023-04-08,Cleveland Guardians,Seattle Mariners,0,5.24,1.46,5.24,3.16,5.22,1.46,6.12,3.24,0.701,18.7,0.744,25.9,-0.0200000000000004,-0.8799999999999999,-0.043
2023,718662,2023-04-08,Pittsburgh Pirates,Chicago White Sox,0,3.86,1.31,8.92,3.38,3.77,1.23,7.54,2.74,0.704,24.0,0.693,23.8,-0.0899999999999998,1.38,0.011
2023,718664,2023-04-08,Baltimore Orioles,New York Yankees,0,4.42,1.28,7.91,2.44,4.28,1.22,7.17,2.79,0.701,22.4,0.733,23.9,-0.1399999999999996,0.7400000000000002,-0.032
2023,718660,2023-04-08,Milwaukee Brewers,St. Louis Cardinals,0,6.56,1.67,8.29,4.63,3.2,1.19,7.92,2.29,0.682,23.2,0.695,21.4,-3.3599999999999994,0.3699999999999992,-0.0129999999999999
2023,718659,2023-04-08,Atlanta Braves,San Diego Padres,0,3.64,1.43,10.08,4.57,3.22,1.16,8.31,2.88,0.841,20.6,0.738,21.2,-0.4199999999999999,1.7699999999999996,0.1029999999999999
2023,718656,2023-04-08,Arizona Diamondbacks,Los Angeles Dodgers,1,7.0,1.66,7.87,4.26,6.5,1.39,5.68,1.93,0.745,20.4,0.824,21.5,-0.5,2.1900000000000004,-0.0789999999999999
2023,718658,2023-04-08,Colorado Rockies,Washington Nationals,0,5.5,1.49,5.63,2.78,5.55,1.6,6.92,3.3,0.69,25.5,0.73,18.9,0.0499999999999998,-1.29,-0.04
2023,718657,2023-04-08,Los Angeles Angels,Toronto Blue Jays,1,5.43,1.49,7.6,4.09,3.65,1.19,8.73,2.47,0.775,24.8,0.74,20.9,-1.7799999999999998,-1.1300000000000008,0.035
2023,718652,2023-04-09,Philadelphia Phillies,Cincinnati Reds,0,4.38,1.31,7.19,3.7,11.45,2.36,7.36,5.73,0.759,23.9,0.696,24.2,7.069999999999999,-0.1699999999999999,0.063
2023,718654,2023-04-09,Detroit Tigers,Boston Red Sox,0,5.45,1.32,9.25,3.17,4.04,1.11,9.39,2.51,0.651,24.2,0.745,22.2,-1.41,-0.1400000000000005,-0.0939999999999999
2023,718655,2023-04-09,Tampa Bay Rays,Oakland Athletics,1,2.62,1.05,9.47,2.22,6.34,1.59,8.41,4.57,0.757,23.0,0.647,25.1,3.72,1.0600000000000005,0.1099999999999999
